,y_test,prediction
4931,1426.1436,2680.115923524778
4148,1201.769,2519.840375723479
7423,1836.2764,2258.1899817364038
4836,2410.8618,2299.363790247614
944,1549.9824,3068.1551808054865
154,3169.208,3595.801638190813
7230,2036.6822,2959.476309566765
3472,824.9262,1978.3118142232363
2294,378.1744,1430.5414583921086
2588,1573.9512,1784.9982438458342
2087,2474.7786,1869.9744880084163
7318,101.8674,270.0128107251424
6126,894.8352,1611.0418399913713
4164,1491.392,2397.8197343582033
6572,1390.1904,2031.8886430374666
693,1707.777,1449.7491067858311
1270,1853.5872,2476.5305759115336
5893,2404.8696,2808.6068919318477
1624,5528.1374,3847.3907730416677
5223,12117.56,5357.532843491723
2972,4767.128,3602.8177274211157
6814,185.7582,1834.5060298536107
1555,187.0898,1214.097063425128
8275,772.328,1547.539941647386
3760,1324.2762,2113.912097539326
3161,2036.6822,1573.9512775449175
5225,6574.775,5549.445158557471
1570,5285.1204,4099.988058460222
4285,773.6596,863.7729580765449
1835,6615.3888,3823.644063256952
4266,1022.6688,1438.9514445025807
2740,2797.6916,4075.1869398557074
4312,3099.9648,2682.9598981589197
2379,1720.4272,3353.5005948246935
821,3338.3212,2333.581460395918
5862,1061.951,1451.501075711635
5108,4567.388,4037.662617862825
7149,6474.2392,5376.935207175265
2060,1145.176,1900.1273978446366
1571,2804.3496,1719.9503523181477
3879,945.436,1265.9195611399202
1889,1255.033,2290.155982650381
528,5206.556,3703.562591214436
7060,5842.395,3778.7275737052287
5845,3379.6008,2979.6709683708013
5860,477.3786,697.6045939306694
4861,113.8518,-201.51256728909993
1824,992.042,1301.7641067934578
1098,5259.82,4153.350667918564
5530,1704.448,1530.1698321484348
1921,117.8466,95.38718969776755
8517,3608.636,2839.210278575665
4908,729.051,597.106437462629
2006,2422.1804,2407.4158776493477
98,4363.6532,3789.79795308729
7140,753.0198,737.3623462648063
1003,713.0718,508.99565178147765
3162,683.1108,617.2711230710817
4376,195.7452,-196.593732893509
3930,3159.8868,3602.759497786058
5973,1348.245,1457.8651105518513
4276,1803.6522,1255.4239997417644
6789,5932.278,2567.226294135242
8116,71.9064,-969.0961539692605
2030,2270.378,1703.1162984961784
3484,303.6048,534.2380222993754
233,2603.278,2403.2083307690846
4511,5773.1518,3167.0830085037014
852,2691.8294,3250.158208001426
1364,476.047,473.3090406517177
257,193.082,1632.6478901823184
5809,2460.7968,1621.3922576015937
3810,121.8414,110.53938153572335
379,4274.436,3400.884937102908
7273,412.796,-125.76053007845258
6787,4625.9784,4066.3848390425883
2645,3006.087,2220.589132067901
1589,4950.8888,3557.6531216747335
5198,529.311,2411.986684539689
3909,2184.4898,2089.19009051113
8236,510.0028,2125.225834001677
888,2620.5888,2507.672369214886
5175,981.3892,698.3506941794822
1580,319.584,594.3559025541895
4109,2297.01,2448.671690467444
4238,1018.674,611.2044397296752
140,1402.1748,2411.4370505336237
6770,3942.8676,3028.100285079675
4098,1182.4608,3169.351777376639
4394,937.4464,3618.6377511162764
543,1398.18,2149.265386858331
3412,1168.479,917.7420851524471
3043,1569.9564,1405.2212279495227
6696,6474.2392,5389.597697108343
6565,296.9468,548.283251987212
2563,2127.8968,3400.994875446545
4824,5683.2688,4054.568804621086
6335,2616.594,2990.826959160734
6164,4866.998,2310.6737323701927
6095,316.9208,596.7387585218523
4972,355.5372,1500.3440093641593
3535,2994.7684,3350.7871377489028
7490,607.2096,564.817532827801
49,780.3176,1266.0746872407628
7475,1685.8056,2399.706423281571
380,5375.0034,5189.243970637821
7192,1267.0174,1807.7546082094836
4773,3131.9232,3097.4020750998534
4088,1629.8784,1340.047220684072
2849,6196.6006,3883.4466633127686
6750,3094.6384,3453.3361892299827
2488,3142.576,3161.7219443480853
3812,2972.1312,2564.0687496255105
916,895.501,971.8069292282842
2539,5259.82,3276.3705727093284
541,231.6984,1245.3952225461048
7275,2922.1962,2013.6637692525217
6192,922.7988,2527.8897320227616
5373,3819.0288,2613.9037902567206
1657,75.9012,340.56152140162993
273,5829.7448,4170.917978004359
7086,392.822,1257.6893011610166
2337,61.2536,-728.4543363694077
2607,3542.056,3037.5652929561766
3299,5396.9748,4122.506809155292
2631,1510.0344,4079.5798952860187
3776,4349.0056,3139.470897777939
4153,225.7062,1702.2431932996767
4557,2162.5184,1142.6432827783033
5378,1065.28,3386.6218353254626
6000,7393.0432,4999.73908501917
7564,802.9548,859.6016554430158
1035,2190.482,2480.9688166422675
8440,2960.1468,2441.662985292496
6539,3281.0624,3807.5668389632165
3434,3778.415,2515.5002353340305
5233,3751.783,1695.3217534566281
4061,428.7752,-117.6039381187993
44,373.5138,2042.0538412493943
5022,120.5098,51.47615120599721
5085,2916.204,3888.6760334938563
3007,3439.5228,2782.478056271152
7336,1830.95,2329.083053059452
2434,2006.7212,1489.4403866636335
2580,3629.2758,2577.6701700382837
4559,351.5424,952.547979086092
5615,2375.5744,2340.5120703452385
7019,2466.789,2234.360929453584
4574,2303.668,1849.0786317035027
4589,1543.3244,2171.973941611841
7801,2432.8332,2621.109320696879
8255,2696.49,1610.360422090637
7646,790.9704,645.9323302435498
6132,5438.9202,3781.035381134345
5663,1174.4712,1537.1151336615972
3637,1166.4816,814.4202831280834
2966,143.8128,470.10534354672404
6577,761.6752,1722.3662086104948
6261,4288.4178,4969.840903942475
4083,1216.4166,4133.050405008586
4415,5219.872,2977.729625454999
2643,5976.2208,3644.445429663664
1132,1901.5248,2372.5851761833264
5686,856.8846,1492.1290580944255
7491,3175.866,2856.4375487383195
938,89.2172,-362.48952880079196
7453,509.337,1051.5628603287441
6510,3251.1014,2574.5478326153525
234,605.878,706.2037043603331
722,1780.3492,2069.4217061884847
187,778.986,2273.961310892724
3526,473.3838,1603.579973858183
4699,6831.108,3712.8463759600045
2793,1837.608,1212.6593581855825
6198,3214.4824,3007.6067970538543
2650,2524.0478,2412.49491741725
7761,1403.5064,1365.3658010036752
3112,886.8456,1566.3724375019704
635,5087.3778,4523.946432961071
7677,2045.3376,4019.272402155936
4413,3900.9222,2405.3820993225218
4937,3658.571,1589.3342528847172
5645,2077.296,2589.822820872274
1034,75.9012,-1140.6483740320318
3326,3478.805,2873.9048624941424
1103,5350.3688,2564.529795874344
6440,1113.2176,951.3921238697911
2578,2648.5524,2362.0625746094256
394,3259.7568,2998.0335738365857
4994,2292.3494,3305.5487391388106
787,129.1652,-833.857249104316
2152,2348.9424,2038.6430183822133
5105,1230.3984,1724.33952823472
3379,727.0536,953.8777716372178
4800,488.6972,1856.2161285715372
5276,2055.3246,1597.777295156747
6608,691.1004,1845.9176514242338
7114,3174.5344,3158.511446134162
6423,569.259,2650.980768979536
5840,1446.1176,1634.45901903401
3766,5267.8096,3626.0396715222514
5575,885.514,1496.9239844746073
3779,3563.3616,2064.803188601726
5977,8474.3024,5066.806761029842
7052,3675.216,3585.71333875478
1082,1584.604,1700.8079017951372
7917,743.0328,1390.7777790114667
5836,3271.7412,3689.9834985569787
3976,1592.5936,2499.4855236942303
1783,2364.9216,2292.3304661952143
1414,3420.8804,5126.788929003466
3724,5000.8238,4152.208790517029
5605,1607.907,3322.794368695114
2509,2960.1468,2303.919875345354
2067,1518.024,2348.0702133326995
2774,1419.4856,1750.28675510682
6630,173.108,-494.87141820792635
1817,4410.2592,3011.9537051832285
3805,2182.4924,3091.4651218688696
2081,392.822,1208.9774690447882
7551,3229.7958,4163.191702857234
5173,2302.3364,2891.4721578515546
3714,5299.768,4121.866915489281
692,4974.1918,4008.605397328628
1235,3235.788,2579.564307519453
5770,2388.2246,2325.9235907993343
642,3246.4408,2319.3197472296133
7419,2444.8176,2171.788006349131
3315,2956.152,3017.6054079660753
3679,2695.1584,2127.0284881683156
38,388.1614,2109.634795562374
7813,109.1912,-960.283967612221
5155,354.2056,1113.9427502060496
8405,124.5046,139.67637323537315
1180,2190.482,2471.8365216062502
1022,352.874,933.4878235743984
7538,1817.634,2415.460559103335
8284,197.0768,-249.6193953750833
7975,922.7988,1401.3544920912293
1332,1957.452,2285.929273795983
5873,2422.1804,2124.98897647368
2189,5243.8408,3637.0191539716034
1386,3691.1952,2791.016150044983
147,1597.92,2665.409162192608
8244,3964.839,4305.173511752781
7158,5592.72,3482.5169340987923
4520,2302.3364,1959.9710740611663
3769,3567.3564,4513.431272911615
5470,1791.6678,1034.8619874394742
7898,790.9704,2332.9002175781457
8441,777.6544,1576.0840868203784
4919,341.5554,1809.9353678798036
196,992.7078,808.6472829267516
5367,2596.62,2708.8425803789905
1456,351.5424,1441.4068643583373
277,450.0808,1842.6705118938473
1830,1468.089,720.8546837942952
2172,697.7584,962.3275934416731
3266,5752.512,3347.363845996885
1379,5816.4288,5240.565375502424
4844,102.5332,-93.44946323654244
6799,459.402,3620.705878920933
7782,2345.6134,2941.8523266252596
2843,2796.36,3719.1223695930257
1283,1581.275,1069.5163720457228
3375,352.874,848.6601643051897
5739,2087.283,2639.2956124937937
5937,312.926,574.5730641749933
3180,1524.0162,1639.1978466305675
7671,1078.596,508.7415312887537
8210,3435.528,3331.6760918355967
2417,3731.809,3114.8376375814123
7299,3352.303,2870.107738194388
958,1973.4312,2615.6976749720125
6956,2125.2336,1590.0008642557432
3740,91.8804,-941.5228531924229
3079,497.3526,1134.863967142765
5167,683.1108,1904.6088685824427
839,2857.6136,1563.7097431021473
39,2180.495,2871.5478432657283
7852,1342.2528,1621.5320067532828
4881,2792.3652,2462.1325708666136
6258,2512.7292,2670.7443909498843
7427,884.1824,1599.477646139201
3603,330.2368,829.2828427832412
7648,1070.6064,1429.3368610284742
462,1787.673,1900.8709536730346
4065,1845.5976,2765.2624924515085
982,384.8324,1221.2547900962388
6296,247.6776,211.7406211757641
641,6611.394,3143.6454608690756
454,2683.174,1439.3790909160043
20,3775.086,3956.805876603291
8401,1395.5168,1511.6341185990825
8283,1845.5976,1549.3859829005169
3639,390.1588,1376.745304103965
244,3225.1352,3598.7808862297197
2984,1257.0304,2497.1617886207523
6154,3874.956,3106.886979867315
3978,882.8508,879.946541560022
4609,1049.9666,555.152115933196
6039,1757.712,2374.5438849799866
882,300.9416,701.8325115874466
3443,1150.5024,866.7546362418019
7632,41.9454,-1127.969671402131
4967,3146.5708,2985.0416810951147
3634,1601.249,2088.971133838706
4060,5609.365,4916.041715504451
651,229.701,-994.1909685680268
1852,874.8612,532.4280243938667
162,3315.684,3189.5434816821125
7043,992.7078,2402.828017245509
4240,1518.024,3011.977877559175
6163,1957.452,2268.1891901340864
5863,2387.5588,3018.601761001887
304,7696.648,3403.044596384868
4853,2852.2872,3253.414289191547
7311,1494.0552,1511.9424299500042
7398,1494.0552,1434.827720439004
6866,647.8234,1467.222328101109
6943,325.5762,1815.019052505074
1085,5173.266,4223.34085238626
7496,2868.2664,3800.2899716917736
5165,2954.1546,2750.5057093318164
2457,5099.3622,3417.0606893719314
8008,2743.7618,3441.4659316524585
2813,113.186,183.1327728772735
2214,2936.178,3076.894631131984
1168,2519.3872,1859.025925587407
8070,868.869,1733.5810172507988
6148,2740.4328,3069.9419893701643
8253,2896.8958,2407.765294490715
6913,325.5762,1819.543208178383
6340,3123.9336,3085.6471664208475
8003,1342.2528,3046.174377917717
1261,2681.8424,2308.8784118701615
296,583.2408,752.9242496842335
229,3101.2964,4290.063367610607
2241,856.8846,1087.3055695603093
4407,587.2356,1693.644202530861
221,1416.8224,1451.867603155939
6982,5073.396,4030.002887399647
6688,5888.3352,4524.312082937657
1411,928.791,1083.2745760623193
2549,6381.693,2300.220583669782
4123,4082.6856,2366.687815256929
5435,2127.231,2468.140837267939
2076,2516.724,2111.7548646234463
7886,1857.582,1667.6713089356422
3840,1559.9694,2393.873704058091
4068,1761.7068,1590.080131822446
5972,549.285,1089.1652078618292
7176,2037.348,2677.3406102057297
1091,2503.408,2550.7660745125822
7138,652.484,1084.170149240323
8141,452.744,735.4524417697946
2250,458.0704,1753.1039213373053
4977,2446.815,2525.8718549117057
5518,2463.46,1306.4799151260847
6481,2716.464,2241.855926571234
6605,1125.202,2406.781195611168
4328,5690.5926,2766.0699054841243
8153,1719.7614,2987.186975736776
6289,2247.075,3116.944766046682
2676,4134.618,3097.5769451395945
4582,3495.45,3848.915212938625
5399,2802.3522,1924.6398881261898
8412,2203.798,3488.950774779224
5599,429.441,373.78851746356236
4076,2450.144,2674.865663243122
6436,3506.7686,2273.5535490616558
3636,6338.416,2918.545737308873
841,178.4344,-417.1069361762238
3528,3872.9586,2905.7871861274416
1547,829.5868,570.4470075280979
6724,1454.1072,1980.6379632974238
6853,3098.6332,1981.1208369624655
8046,392.822,3140.64703784654
1029,1198.44,999.2265013792376
7766,1707.777,1918.7183029859182
6670,264.9884,2279.0546479869517
8148,3142.576,3084.5601255286692
7355,80.5618,-555.770654600682
4900,3439.5228,2511.035803065748
6428,1808.9786,2546.37959651699
5498,309.597,1422.2842083201583
7533,2572.6512,2969.360292391236
7994,3593.3226,2679.11289331861
3910,1621.8888,3439.8625578253386
2568,659.142,531.5913018839988
2644,884.1824,931.9269569857644
733,1807.647,1939.7294814352167
4105,5522.811,5518.364685507319
5694,1435.4648,2106.4909598439835
6512,2841.6344,1906.9671328569343
6590,3691.1952,2412.9380504727405
5558,6624.71,4306.338748824183
1750,5956.9126,4118.110485700037
836,145.8102,-1056.673125222173
2528,6503.5344,3808.1555418381895
4831,858.882,2274.085080544978
5006,1701.7848,2235.9827337334923
7489,614.5334,812.8831626530985
2866,250.3408,235.02202896002768
7154,3835.008,3431.3165393683776
683,1488.063,1595.6881490494961
499,1298.31,2044.0100230064827
388,717.7324,2393.1788913298506
6101,2999.429,2811.6607940762124
3311,1346.2476,3529.719129591077
6380,3755.112,3092.1532809469045
8404,153.134,-576.5639985509389
119,1141.847,3281.267644479377
158,1701.7848,2163.967301629218
6968,755.0172,1411.2283881188762
3986,4250.4672,1723.0424116397903
5962,1641.197,1654.4440480437108
6693,1957.452,2210.8748852143904
1044,6048.793,4182.375870120859
3964,2077.296,1904.6055609928019
6059,3704.5112,3651.9966534756395
4301,3295.71,1634.4904060586596
7733,467.3916,528.3034261768298
7868,2542.0244,1754.657990689112
6837,4165.2448,4047.7708095885137
3975,892.8378,1587.0488397691433
6099,567.2616,431.20506652335257
7276,1537.998,1674.1569857057395
1422,852.224,1484.5830707881992
4561,2183.824,1756.1755833108498
